"External ID","Code","Credit Account","Debit Account"
"Payroll (129)",,,
"l10n_co_hr_payroll.hr_salary_rule_DAYS","DAYS",,
"l10n_co_hr_payroll.hr_salary_rule_SMMLV","SMMLV",,
"l10n_co_hr_payroll.hr_salary_rule_UVT","UVT",,
"l10n_co_hr_payroll.hr_salary_rule_BASIC","BASIC",,
"l10n_co_hr_payroll.hr_salary_rule_BAS_SAL","BAS_SAL",271005,510503
"l10n_co_hr_payroll.hr_salary_rule_MAT","MAT",271005,166030
"l10n_co_hr_payroll.hr_salary_rule_VAC","VAC",271005,510516
"l10n_co_hr_payroll.hr_salary_rule_SAL_ADJ","SAL_ADJ",271005,510503
"l10n_co_hr_payroll.hr_salary_rule_UNI_PER","UNI_PER",,
"l10n_co_hr_payroll.hr_salary_rule_PAI_LEA","PAI_LEA",,
"l10n_co_hr_payroll.hr_salary_rule_INT_SAL","INT_SAL",271005,510501
"l10n_co_hr_payroll.hr_salary_rule_ENT","ENT",271005,510505
"l10n_co_hr_payroll.hr_salary_rule_ENT_SH","ENT_SH",271005,510505
"l10n_co_hr_payroll.hr_salary_rule_NS","NS",271005,510505
"l10n_co_hr_payroll.hr_salary_rule_EDT","EDT",271005,510505
"l10n_co_hr_payroll.hr_salary_rule_EDT_SH","EDT_SH",271005,510505
"l10n_co_hr_payroll.hr_salary_rule_COM","COM",271005,510506
"l10n_co_hr_payroll.hr_salary_rule_ARL_INA","ARL_INA",271005,166030
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA","EPS_INA",271005,166030
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA_180","EPS_INA_180",271005,166030
"l10n_co_hr_payroll.hr_salary_rule_SH","SH",271005,510505
"l10n_co_hr_payroll.hr_salary_rule_LEAVE110","LEAVE110",271005,510508
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA_180_SUB","EPS_INA_180_SUB",271005,166030
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA_SUB","EPS_INA_SUB",271005,510533
"l10n_co_hr_payroll.hr_salary_rule_EPS_PER","EPS_PER",271005,510533
"l10n_co_hr_payroll.hr_salary_rule_TOT_INC","TOT_INC",,
"l10n_co_hr_payroll.hr_salary_rule_SUB","SUB",271005,510522
"l10n_co_hr_payroll.hr_salary_rule_TRA_ASI","TRA_ASI",271005,510509
"l10n_co_hr_payroll.hr_salary_rule_TOT_OTH_INC","TOT_OTH_INC",,
"l10n_co_hr_payroll.hr_salary_rule_BIR_ASI","BIR_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_CLO_ASI","CLO_ASI",241095,510521
"l10n_co_hr_payroll.hr_salary_rule_CON_ASI","CON_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_DEA_ASI","DEA_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_EDU_ASI","EDU_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_FED_ASI","FED_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_HOU_ASI","HOU_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_LAB_LOA_ASI","LAB_LOA_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_MAI_ASI","MAI_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_OPT_ASI","OPT_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_OTH_ASI","OTH_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_OTH_BON","OTH_BON",271005,510519
"l10n_co_hr_payroll.hr_salary_rule_PAR_ASI","PAR_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_PRA_ASI","PRA_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_PRA_TRA_ASI","PRA_TRA_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_PRE_ASI","PRE_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_PRI_ASI","PRI_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_PRO_PRE_ASI","PRO_PRE_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_SAL_ASI","SAL_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_SEC_ASI","SEC_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_SPE_ASI","SPE_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_TEC_ASI","TEC_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_UNI_ASI","UNI_ASI",,
"l10n_co_hr_payroll.hr_salary_rule_VIA","VIA",271005,510507
"l10n_co_hr_payroll.hr_salary_rule_BON","BON",,
"l10n_co_hr_payroll.hr_salary_rule_TOT_AUX","TOT_AUX",,
"l10n_co_hr_payroll.hr_salary_rule_LST_AVG_INC","LST_AVG_INC",,
"l10n_co_hr_payroll.hr_salary_rule_LST_ONE_AVG_INC","LST_ONE_AVG_INC",,
"l10n_co_hr_payroll.hr_salary_rule_LST_SIX_AVG_INC","LST_SIX_AVG_INC",,
"l10n_co_hr_payroll.hr_salary_rule_LST_TWE_AVG_INC","LST_TWE_AVG_INC",,
"l10n_co_hr_payroll.hr_salary_rule_AFC","AFC",241095,271006
"l10n_co_hr_payroll.hr_salary_rule_PRM","PRM",271005,271009
"l10n_co_hr_payroll.hr_salary_rule_AFC_INT","AFC_INT",241095,271007
"l10n_co_hr_payroll.hr_salary_rule_VAC_MON","VAC_MON",271005,510516
"l10n_co_hr_payroll.hr_salary_rule_GROSS","GROSS",,
"l10n_co_hr_payroll.hr_salary_rule_IBC_SS","IBC_SS",,
"l10n_co_hr_payroll.hr_salary_rule_AFP","AFP",245010,271005
"l10n_co_hr_payroll.hr_salary_rule_EPS","EPS",245005,271005
"l10n_co_hr_payroll.hr_salary_rule_RET_FTE","RET_FTE",243505,271005
"l10n_co_hr_payroll.hr_salary_rule_FSP","FSP",245010,271005
"l10n_co_hr_payroll.hr_salary_rule_VOL_DED","VOL_DED",,
"l10n_co_hr_payroll.hr_salary_rule_IBC_RET","IBC_RET",,
"l10n_co_hr_payroll.hr_salary_rule_IBC_SA","IBC_RET",,
"l10n_co_hr_payroll.hr_salary_rule_AFP_VOL","AFP_VOL",245010,271005
"l10n_co_hr_payroll.hr_salary_rule_SRC_RET_VAL","SRC_RET_VAL",,
"l10n_co_hr_payroll.hr_salary_rule_FUN_INS","FUN_INS",271005,
"l10n_co_hr_payroll.hr_salary_rule_INS","INS",241095,271005
"l10n_co_hr_payroll.hr_salary_rule_INS_LOA","INS_LOA",160505,271005
"l10n_co_hr_payroll.hr_salary_rule_LAB_LOA","LAB_LOA",163010,271005
"l10n_co_hr_payroll.hr_salary_rule_LOA","LOA",163010,271005
"l10n_co_hr_payroll.hr_salary_rule_OTH_INS","OTH_INS",163010,271005
"l10n_co_hr_payroll.hr_salary_rule_TOT_DED","TOT_DED",,
"l10n_co_hr_payroll.hr_salary_rule_CAL_LOA","CAL_LOA",271005,512020
"l10n_co_hr_payroll.hr_salary_rule_CAR_LOA","CAR_LOA",163010,271005
"l10n_co_hr_payroll.hr_salary_rule_COO","COO",163010,271005
"l10n_co_hr_payroll.hr_salary_rule_CTY_UNI","CTY_UNI",163010,271005
"l10n_co_hr_payroll.hr_salary_rule_EDU_LOA","EDU_LOA",241095,271005
"l10n_co_hr_payroll.hr_salary_rule_EXE_JUD","EXE_JUD",,271005
"l10n_co_hr_payroll.hr_salary_rule_FEE_JUD","FEE_JUD",,271005
"l10n_co_hr_payroll.hr_salary_rule_FON","FON",,271005
"l10n_co_hr_payroll.hr_salary_rule_HOU_LOA","HOU_LOA",,271005
"l10n_co_hr_payroll.hr_salary_rule_IND_UNI","IND_UNI",,271005
"l10n_co_hr_payroll.hr_salary_rule_MED_LOA","MED_LOA",,271005
"l10n_co_hr_payroll.hr_salary_rule_OTH_ASO","OTH_ASO",,271005
"l10n_co_hr_payroll.hr_salary_rule_OTH_DIS","OTH_DIS",,271005
"l10n_co_hr_payroll.hr_salary_rule_OTH_JUD","OTH_JUD",,271005
"l10n_co_hr_payroll.hr_salary_rule_OTH_LOA","OTH_LOA",241095,271005
"l10n_co_hr_payroll.hr_salary_rule_OTH_UNI","OTH_UNI",,271005
"l10n_co_hr_payroll.hr_salary_rule_POS_CON_LOA","POS_CON_LOA",,271005
"l10n_co_hr_payroll.hr_salary_rule_REC_LOA","REC_LOA",,271005
"l10n_co_hr_payroll.hr_salary_rule_REG_UNI","REG_UNI",,271005
"l10n_co_hr_payroll.hr_salary_rule_SEC_UNI","SEC_UNI",,271005
"l10n_co_hr_payroll.hr_salary_rule_SUB_UNI","SUB_UNI",,271005
"l10n_co_hr_payroll.hr_salary_rule_VAR_LOA","VAR_LOA",245030,271005
"l10n_co_hr_payroll.hr_salary_rule_ADV_DIS","ADV_DIS",,
"l10n_co_hr_payroll.hr_salary_rule_TOT_DIS","TOT_DIS",,
"l10n_co_hr_payroll.hr_salary_rule_TOT_PAY","TOT_PAY",,
"l10n_co_hr_payroll.hr_salary_rule_EPS_PAT","EPS_PAT",245005,510523
"l10n_co_hr_payroll.hr_salary_rule_AFP_PAT","AFP_PAT",245010,510524
"l10n_co_hr_payroll.hr_salary_rule_AFC_DED","AFC_DED",,
"l10n_co_hr_payroll.hr_salary_rule_AFP_DED","AFP_DED",,
"l10n_co_hr_payroll.hr_salary_rule_DEP_DED","DEP_DED",,
"l10n_co_hr_payroll.hr_salary_rule_HOU_DED","HOU_DED",,
"l10n_co_hr_payroll.hr_salary_rule_KND","KND-DED",,
"l10n_co_hr_payroll.hr_salary_rule_MED_DED","MED_DED",,
"l10n_co_hr_payroll.hr_salary_rule_OTH_DED","OTH_DED",,
"l10n_co_hr_payroll.hr_salary_rule_OTH_EXC","OTH_EXC",,
"l10n_co_hr_payroll.hr_salary_rule_BAS_RET","BAS_RET",,
"l10n_co_hr_payroll.hr_salary_rule_ARL","ARL",245015,510525
"l10n_co_hr_payroll.hr_salary_rule_CCF","CCF",245020,510526
"l10n_co_hr_payroll.hr_salary_rule_ICBF","ICBF",245020,510527
"l10n_co_hr_payroll.hr_salary_rule_SENA","SENA",245020,510528
"l10n_co_hr_payroll.hr_salary_rule_TOT_CON","TOT_CON",,
"l10n_co_hr_payroll.hr_salary_rule_PRM_ACR","PRM_ACR",271009,510512
"l10n_co_hr_payroll.hr_salary_rule_AFC_ACR","AFC_ACR",271006,510510
"l10n_co_hr_payroll.hr_salary_rule_AFC_INT_ACR","AFC_INT_ACR",271007,510511
"l10n_co_hr_payroll.hr_salary_rule_VAC_ACR","VAC_ACR",271008,510516
"l10n_co_hr_payroll.hr_salary_rule_TOT_ACR","TOT_ACR",,
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA_COL","EPS_INA_COL",,
"l10n_co_hr_payroll.hr_salary_rule_NET","NET",,
