"id","sequence","name","amount","amount_type","type_tax_use","tax_group_id","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description","invoice_label","name@es","description@es","price_include_override"
"co_sol_tax_iva_19lt","0","Vat 19%<","19.0","percent","purchase","tax_group_iva",,,"base","invoice",,"VAT 19% Purchase","Iva19%<","IVA 19%<","IVA 19% Compra",
,,,,,,,,,"tax","invoice","co_puc_244010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_244010",,,,,
"co_sol_tax_iva_5lt","1","Vat 5%<","5.0","percent","purchase","tax_group_iva",,,"base","invoice",,"VAT 5% Purchase","Iva5%<","IVA 5%<","IVA 5% Compra",
,,,,,,,,,"tax","invoice","co_puc_244010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_244010",,,,,
"co_sol_tax_iva_16lt","1","Vat 16%<","16.0","percent","purchase","tax_group_iva",,,"base","invoice",,"VAT 16% Purchase (2016 and January 2017)","Iva16%<","IVA 16%<","IVA 16% Compra (2016 y Enero 2017)",
,,,,,,,,,"tax","invoice","co_puc_244010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_244010",,,,,
"co_sol_tax_iva_0lt","1","Vat 0%<","0.0","percent","purchase","tax_group_iva",,,"base","invoice",,"VAT 0% Purchase Imports","Iva0%<","IVA 0%<","IVA 0% Compra",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_iva_exclt","1","Vat 0% Exc<","0.0","percent","purchase","tax_group_iva",,,"base","invoice",,"VAT Excluded Purchase","Exc<","IVA 0% Exc<","IVA Excluido Compra",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_iva_exnlt","1","Vat 0% Exm<","0.0","percent","purchase","tax_group_iva",,,"base","invoice",,"VAT Exempt Purchase","Exn<","IVA 0% Exn<","IVA Exento Compra",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_rteiva_2_85lt","1","RteVat 2.85%<","-2.85","percent","purchase","tax_group_rteiva",,,"base","invoice",,"RteVat 15% over 19% VAT (-2.85%)","RteIva2.85%<","RteIva 2.85%<","RteIva 15% sobre el IVA 19% Compra",
,,,,,,,,,"tax","invoice","co_puc_243560",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243560",,,,,
"co_sol_tax_rteiva_0_75lt","1","RteVat 0.75%<","-0.75","percent","purchase","tax_group_rteiva",,,"base","invoice",,"RteVat 15% over 5% VAT (-0.75%)","RteIva0.75%<","RteIva 0.75%<","RteIva 15% sobre el IVA 5% Compra",
,,,,,,,,,"tax","invoice","co_puc_243560",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243560",,,,,
"co_sol_tax_rteiva_2_4lt","1","RteVat 2.4%<","-2.4","percent","purchase","tax_group_rteiva",,,"base","invoice",,"RteVAT 15% over 5% VAT Counterpart (0.75%)","RteIva2.4%<","RteIva 2.4%<","RteIva 15% sobre el IVA 16% Compra",
,,,,,,,,,"tax","invoice","co_puc_243560",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243560",,,,,
"co_sol_tax_rtefte_0_1lt","1","RteFte 0.1%<","-0.1","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 0.1% Purchase Fuel","RteFte0.1%<","RteFte 0.1%<","RteFte 0.1% Compra Combustible",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_0_5lt","1","RteFte 0.5%<","-0.5","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 0.5% Buy Coffee (-0.5%).","RteFte0.5%<","RteFte 0.5%<","RteFte 0.5% Compra Café",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_1lt","1","RteFte 1%<","-1.0","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 1% Purchase Freight Transport Service, Acquisition of Vehicles","RteFte1%<","RteFte 1%<","RteFte 1% Compra Transporte Carga, Vehiculos",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_1_5lt","1","RteFte 1.5%<","-1.5","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 1.5% Agricultural Goods","RteFte1.5%<","RteFte 1.5%<","RteFte 1.5% Compra Bienes Agricolas",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_2lt","1","RteFte 2%<","-2.0","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 2% Purchases Contracts Real Estate, Health, Surveillance and Cleaning Service (Over AIU)","RteFte2%<","RteFte 2%<","RteFte 2% Compra Servicios Inmobiliarios, Salud, Vigilancia y Aseo (AIU)",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_2_5lt","1","RteFte 2.5%<","-2.5","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 2.5% Purchases Acquisition of Commercial Real Estate","RteFte2.5%<","RteFte 2.5%<","RteFte 2.5% Compra Inmbuebles Comerciales",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_3_5lt","1","RteFte 3.5%","-3.5","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 3.5% Purchase Service Fees Software Licenses, Web Design and IT Consulting Fees, Real Estate Leases","RteFte3.5%<","RteFte 3.5%<","RteFte 3.5% Compra Software, Diseño Web, Consultoría Informática, Arriendo Inmuebles",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_4lt","1","RteFte 4%<","-4.0","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 4% Lease Furnitures","RteFte4.0%<","RteFte 4%<","RteFte 4% Compra Arriendo Mobiliario",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_6lt","1","RteFte 6%<","-6.0","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte Services in General Individuals Not Filing Income Tax Returns (-6%)","RteFte6%<","RteFte 6%<","RteFte 6% Compra Servicios Generales No Declarantes",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_7lt","1","RteFte 7%<","-7.0","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 7% General Financial Income","RteFte7%<","RteFte 7%<","RteFte 7% Compra Servicios Financieros en General",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_10lt","1","RteFte 10%<","-10.0","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 10% Purchase Commissions Natural Person","RteFte10%<","RteFte 10%<","RteFte 10% Compra Honoraios Persona Natural",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rtefte_11lt","1","RteFte 11%<","-11.0","percent","purchase","tax_group_rtefte",,,"base","invoice",,"RteFte 11% Fees Legal Entity","RteFte11%<","RteFte 11%<","RteFte 11% Compra Honorarios Persona Juridica",
,,,,,,,,,"tax","invoice","co_puc_243525",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243525",,,,,
"co_sol_tax_rteica_0lt","1","0% RteIca 0%<","0.0","percent","purchase","tax_group_rteica",,,"base","invoice",,"RteIca 0% Purchase","RteIca0%<","RteIca 0%<","RteIca 0% Compra",
,,,,,,,,,"tax","invoice","co_puc_243575",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243575",,,,,
"co_sol_tax_rteica_0_414lt","1","RteIca 0.414%<","-0.414","percent","purchase","tax_group_rteica",,,"base","invoice",,"RteIca 0.414% Purchase","RteIca0.414%<","RteIca 0.414%<","RteIca 0.414% Compra",
,,,,,,,,,"tax","invoice","co_puc_243575",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243575",,,,,
"co_sol_tax_rteica_0_69lt","1","RteIca 0.69%<","-0.69","percent","purchase","tax_group_rteica",,,"base","invoice",,"RteIca 0.69% Purchase","RteIca0.69%<","RteIca 0.69%<","RteIca 0.69% Compra",
,,,,,,,,,"tax","invoice","co_puc_243575",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243575",,,,,
"co_sol_tax_rteica_0_966lt","1","RteIca 0.966%<","-0.966","percent","purchase","tax_group_rteica",,,"base","invoice",,"RteIca 0.966% Purchase","RteIca0.966%<","RteIca 0.966%<","RteIca 0.966% Compra",
,,,,,,,,,"tax","invoice","co_puc_243575",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243575",,,,,
"co_sol_tax_rteica_1_104lt","1","RteIca 1.104%<","-1.104","percent","purchase","tax_group_rteica",,,"base","invoice",,"RteIca 1.104% Purchase","RteIca1.104%<","RteIca 1.104%<","RteIca 1.104% Compra",
,,,,,,,,,"tax","invoice","co_puc_243575",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243575",,,,,
"co_sol_tax_rteica_1_38lt","1","RteIca 1.38%<","-1.38","percent","purchase","tax_group_rteica",,,"base","invoice",,"RteIca 1.38% Purchase","RteIca1.38%<","RteIca 1.38%<","RteIca 1.38% Compra",
,,,,,,,,,"tax","invoice","co_puc_243575",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_243575",,,,,
"co_sol_tax_iva_19gt","0","Vat 19%>","19.0","percent","sale","tax_group_iva",,,"base","invoice",,"VAT 19% Sale","Iva19%<","IVA 19%<","IVA 19% Venta",
,,,,,,,,,"tax","invoice","co_puc_244010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_244010",,,,,
"co_sol_tax_iva_5gt","1","Vat 5%>","5.0","percent","sale","tax_group_iva",,,"base","invoice",,"VAT 5% Sale","Iva5%<","IVA 5%<","IVA 5% Venta",
,,,,,,,,,"tax","invoice","co_puc_244010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_244010",,,,,
"co_sol_tax_iva_16gt","1","Vat 16%>","16.0","percent","sale","tax_group_iva",,,"base","invoice",,"VAT 16% Sale (2016 and January 2017)","Iva16%<","IVA 16%<","IVA 16% Venta (2016 y Enero 2017)",
,,,,,,,,,"tax","invoice","co_puc_244010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_244010",,,,,
"co_sol_tax_iva_0gt","1","Vat 0%>","0.0","percent","sale","tax_group_iva",,,"base","invoice",,"VAT 0% Sale Imports","Iva0%<","IVA 0%<","IVA 0% Venta",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_iva_excgt","1","Vat 0% Exc>","0.0","percent","sale","tax_group_iva",,,"base","invoice",,"VAT Excluded Sale","Exc<","IVA 0% Exc<","IVA Excluido Venta",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_iva_exngt","1","Vat 0% Exm>","0.0","percent","sale","tax_group_iva",,,"base","invoice",,"VAT Exempt Sale","Exn<","IVA 0% Exn<","IVA Exento Venta",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_rteiva_2_85gt","1","RteVat 2.85%>","2.85","percent","sale","tax_group_rteiva",,,"base","invoice",,"RteVat 15% over VAT 19%","RteIva2.85%<","RteIva 2.85%<","RteIva 15% sobre el IVA 19% Venta",
,,,,,,,,,"tax","invoice","co_puc_164040",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164040",,,,,
"co_sol_tax_rteiva_0_75gt","1","RteVat 0.75%>","0.75","percent","sale","tax_group_rteiva",,,"base","invoice",,"RteVat 15% over  VAT 5%","RteIva0.75%<","RteIva 0.75%<","RteIva 15% sobre el IVA 5% Venta",
,,,,,,,,,"tax","invoice","co_puc_164040",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164040",,,,,
"co_sol_tax_rteiva_2_4gt","1","RteVat 2.4%>","2.4","percent","sale","tax_group_rteiva",,,"base","invoice",,"RteVAT 15% over VAT 16%","RteIva2.4%<","RteIva 2.4%<","RteIva 15% sobre el IVA 16% Venta",
,,,,,,,,,"tax","invoice","co_puc_164040",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164040",,,,,
"co_sol_tax_rtefte_0_1gt","1","RteFte 0.1%>","0.1","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 0.1% Sale Fuel","RteFte0.1%<","RteFte 0.1%<","RteFte 0.1% Venta Combustible",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_0_5gt","1","RteFte 0.5%>","0.5","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 0.5% Sale Coffee (-0.5%).","RteFte0.5%<","RteFte 0.5%<","RteFte 0.5% Venta Café",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_1gt","1","RteFte 1%>","1.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 1% Sale Freight Transport Service, Acquisition of Vehicles","RteFte1%<","RteFte 1%<","RteFte 1% Venta Transporte Carga, Vehiculos",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_1_5gt","1","RteFte 1.5%>","1.5","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 1.5% Agricultural Goods","RteFte1.5%<","RteFte 1.5%<","RteFte 1.5% Venta Bienes Agricolas",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_2gt","1","RteFte 2%>","2.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 2% Sales Contracts Real Estate, Health, Surveillance and Cleaning Service (Over AIU)","RteFte2%<","RteFte 2%<","RteFte 2% Venta Servicios Inmobiliarios, Salud, Vigilancia y Aseo (AIU)",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_2_5gt","1","RteFte 2.5%>","2.5","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 2.5% Sales Acquisition of Commercial Real Estate","RteFte2.5%<","RteFte 2.5%<","RteFte 2.5% Venta Inmbuebles Comerciales",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_3_5gt","1","RteFte 3.5%","3.5","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 3.5% Sale Service Fees Software Licenses, Web Design and IT Consulting Fees, Real Estate Leases","RteFte3.5%<","RteFte 3.5%<","RteFte 3.5% Venta Software, Diseño Web, Consultoría Informática, Arriendo Inmuebles",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_4gt","1","RteFte 4%>","4.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 4% Sale Lease Furnitures","RteFte4.0%<","RteFte 4%<","RteFte 4% Venta Arriendo Mobiliario",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_6gt","1","RteFte 6%>","6.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte Sale Services in General Individuals Not Declarant","RteFte6%<","RteFte 6%<","RteFte 6% Venta Servicios Generales No Declarantes",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_7gt","1","RteFte 7%>","7.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 7% Sale General Financial Income","RteFte7%<","RteFte 7%<","RteFte 7% Venta Servicios Financieros en General",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_10gt","1","RteFte 10%>","10.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 10% Sale Commissions Natural Person","RteFte10%<","RteFte 10%<","RteFte 10% Venta Honoraios Persona Natural",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_11gt","1","RteFte 11%>","11.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 11% Sale Fees Legal Entity","RteFte11%<","RteFte 11%<","RteFte 11% Venta Honorarios Persona Juridica",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rteica_0gt","1","0% RteIca 0%>","0.0","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0% Sale","RteIca0%<","RteIca 0%<","RteIca 0% Venta",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_rteica_0_414gt","1","RteIca 0.414%>","0.414","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0.414% Sale","RteIca0.414%<","RteIca 0.414%<","RteIca 0.414% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_0_69gt","1","RteIca 0.69%>","0.69","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0.69% Sale","RteIca0.69%<","RteIca 0.69%<","RteIca 0.69% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_0_966gt","1","RteIca 0.966%>","0.966","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0.966% Sale","RteIca0.966%<","RteIca 0.966%<","RteIca 0.966% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_1_104gt","1","RteIca 1.104%>","1.104","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 1.104% Sale","RteIca1.104%<","RteIca 1.104%<","RteIca 1.104% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_1_38gt","1","RteIca 1.38%>","1.38","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 1.38% Sale","RteIca1.38%<","RteIca 1.38%<","RteIca 1.38% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
